step,data_bpt,param_bpt,S,lambda,I,configuration,lambda_type,lambda_value
0,3.856878650990721,0.0345722004642564,0.008884141618114,0.5,0.0,PI_control,adaptive,adaptive
1,3.964144405342452,0.0356778241687843,0.0089198524638291,0.5,0.0,PI_control,adaptive,adaptive
2,3.9547132253148294,0.0356647625127659,0.0089376902693326,0.5,0.0,PI_control,adaptive,adaptive
3,4.016359037398186,0.0391190649645284,0.0096459810599735,0.5,0.0,PI_control,adaptive,adaptive
4,4.0234102023194085,0.0405985154501504,0.0099897707582753,0.5,0.0,PI_control,adaptive,adaptive
5,3.866602216378813,0.0361719565647799,0.0092682678940395,0.5,0.0,PI_control,adaptive,adaptive
6,3.86676979879284,0.0321686649565479,0.0082506213564635,0.5,0.0,PI_control,adaptive,adaptive
7,3.907932953322568,0.0347702140317263,0.0088188769369261,0.5,0.0,PI_control,adaptive,adaptive
8,3.910470494954844,0.0364685619626047,0.0092397073875993,0.5,0.0,PI_control,adaptive,adaptive
9,3.888556646916292,0.0363315641390088,0.0092567131050186,0.5,0.0,PI_control,adaptive,adaptive
10,3.882801489400321,0.0394203135740478,0.0100505059515384,0.5,0.0,PI_control,adaptive,adaptive
11,3.932261057529737,0.0348429405430785,0.008782966254478,0.5,0.0,PI_control,adaptive,adaptive
12,3.85489157619529,0.0383606383068549,0.009853108967347,0.5,0.0,PI_control,adaptive,adaptive
13,3.9136814376869578,0.0340392043088814,0.0086224957122782,0.5,0.0,PI_control,adaptive,adaptive
14,3.888130082250355,0.0376966340210403,0.0096022154683493,0.5,0.0,PI_control,adaptive,adaptive
15,3.8979278431805424,0.0364073798873683,0.0092537564348618,0.5,0.0,PI_control,adaptive,adaptive
16,3.817253464861667,0.0359527851117446,0.0093306152796759,0.5,0.0,PI_control,adaptive,adaptive
17,4.027790453820982,0.0356716347177476,0.0087786311131982,0.5,0.0,PI_control,adaptive,adaptive
18,3.8634242275758,0.0329200233221717,0.008448951427889,0.5,0.0,PI_control,adaptive,adaptive
19,3.80486222534178,0.034024403480069,0.0088630915079956,0.5,0.0,PI_control,adaptive,adaptive
20,3.960827412575754,0.0324550658288271,0.0081274154794563,0.5,0.0,PI_control,adaptive,adaptive
21,3.8716381287104342,0.0343749464559914,0.0088005200685424,0.5,0.0,PI_control,adaptive,adaptive
22,3.8487005373762,0.0359375358552574,0.0092511928209987,0.5,0.0,PI_control,adaptive,adaptive
23,3.9476266717436017,0.0335320517630965,0.0084226864819799,0.5,0.0,PI_control,adaptive,adaptive
24,3.850197617825699,0.0350696412857715,0.0090263137506251,0.5,0.0,PI_control,adaptive,adaptive
25,3.908361157533571,0.0360559163530236,0.009140999969736,0.5,0.0,PI_control,adaptive,adaptive
26,3.931538181729308,0.0359745344166486,0.0090672763997072,0.5,0.0,PI_control,adaptive,adaptive
27,3.881821442795354,0.0352879453159254,0.0090086698684052,0.5,0.0,PI_control,adaptive,adaptive
28,3.818233080162125,0.0359408942269222,0.0093251873075136,0.5,0.0,PI_control,adaptive,adaptive
29,3.9039383305156834,0.0342141926102297,0.0086878790014644,0.5,0.0,PI_control,adaptive,adaptive
30,3.903396777139348,0.035280012500596,0.0089573261236856,0.5,0.0,PI_control,adaptive,adaptive
